2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.6 , 2.666666666666606
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.6 , 2.666666666666788
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.6 , 3.2
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.6 , 3.2
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.6 , 4.266666666666606
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.6 , 5.866666666666607
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.066666666666697 , 5.866666666666788
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.066666666666606 , 6.933333333333213
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -0.5333333333333939 , 5.866666666666788
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -0.533333333333303 , 5.866666666666607
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.066666666666697 , 4.800000000000001
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -0.533333333333303 , 5.333333333333394
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.066666666666697 , 6.4
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.6 , 9.066666666666606
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -2.666666666666606 , 10.133333333333395
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -2.133333333333394 , 10.666666666666607
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -2.133333333333303 , 10.133333333333395
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.6 , 10.133333333333212
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.066666666666697 , 10.133333333333395
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.066666666666606 , 9.066666666666606
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.6 , 7.4666666666667885
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: -1.066666666666697 , 5.866666666666607
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 0.0 , 2.666666666666606
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 0.0 , -2.133333333333212
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 0.0 , -1.6
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 0.0 , -1.0666666666667879
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 0.0 , -1.6
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 0.0 , -2.666666666666606
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 2.666666666666697 , -3.7333333333333942
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 6.933333333333303 , -8.533333333333212
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 11.200000000000001 , -10.666666666666789
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 11.733333333333304 , -9.066666666666606
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 13.333333333333394 , -7.466666666666606
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 16.533333333333303 , -5.333333333333394
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 20.266666666666698 , -6.4
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 25.066666666666606 , -4.800000000000001
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 25.0666666666667 , -2.133333333333394
2026-01-28 12:23:30 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:30 | DEBUG   | ldc | move info: 20.266666666666698 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 12.266666666666607 , 1.0666666666667879
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 6.933333333333394 , 5.333333333333212
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 4.800000000000001 , 3.2
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 5.866666666666607 , 1.0666666666667879
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 6.4 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 5.333333333333394 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 4.266666666666606 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 1.6 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: 1.066666666666697 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: -2.133333333333303 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: -5.333333333333394 , 0.0
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: -6.4 , 0.5333333333332121
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: -7.466666666666606 , 3.2
2026-01-28 12:23:31 | DEBUG   | ldc | move_rel clicked
2026-01-28 12:23:31 | DEBUG   | ldc | move info: -5.866666666666697 , 3.2
